QONUM,Qonşu
QANACAQ,Mərifət.
QULAQ,Heyvanda və insanda olan orqan.
GÖYGÖL,Azərbaycanda göl.
BAZARERTƏSİ,1-ci gün.
GÜMAN,Ümid.
BOLQAR,İrandan gələn və Biləsuvardan keçən bol sulu çay.
YURD,Məkan.
TELEVİZOR,Boyük ekran.
LÖVHƏ,Yazı taxtası.
BƏRƏ,Su nəqliyyatı.
VÜSAT,Toy.
ŞAFTALI,Eriyə bənzər meyvə.
QOZ,Beyinə oxşar meyvə.
MƏKTƏB,Tərbiyyə ocağı.
İZURTU,Mannanın paytaxtı.
DOLLAR,USD.
FUNDAMENT,Bünövrə.
ÇINQIL,Daş.
MİSMAR,Mıx.
GÖYÇAY,Narına görə tanınan rayon.
LƏNKƏRAN,Limonuna görə tanınan rayon.
AĞDAŞ,Heyvasına görə tanınan rayon.
MİŞAR,Taxta kəsmək üçün alət.
ARMATUR,Dəmir.
ZƏKA,Ağıl.
KƏKLİK,Ov quşu.
TƏKƏ,Keçi.
BAKALAVR,4 illik təhsil.
SETKA,90-cı illərdə qonşular arasında cəpır nədən idi?
ALİ,Uca.
QARANQUŞ,Bahardan xəbər verən quş.
HÖRÜK,Dolanmış uzun saç.
TUNEL,Yeraltı keçid.
CİNS,Paltar.
GERÇƏK,Yalanın antonimi.
SALAM,Əl tutmaq.
MOLLA,Axund.
İTALİYA,Ayaqqabının vətəni.
ALABAY,Özbəkistan it cinsi.
NİLUFƏR,Bataqlıq gülü.
RAMAZN,Orucluq.
AĞARTI,Süd,qatıq.
HAVAYI,Pulsuz.
İBADƏT,Molla.
AHIL,Qoca.
SƏRÇƏ,Ən gec qaynayan yumurta hansı quşa aitdir.
ŞAMAXI,Mirzə Ələkbər Sabirin doğulduğu rayon.
NAR,Başında tac olan meyvə.
OBA,Yurd.
LOBYA,Dənli bitki.
MƏZƏLƏNMƏK,Ələ salmaq.
EDAM,Ölüm cəzası.
KRAL,Şah.
QAHİRƏ,Minarələr şəhəri.
QULDUR,Qaçaq.
KARBON,Qaz.
FAYTON,At arabası.
KƏHRİZ,Su quyusu.
COMOLUNQMA,Dünyada ən hündür zirvə.

